Steps,Completed_Maze,Number of coins
388,Yes,9
298,Yes,10
408,Yes,6
352,Yes,10
434,Yes,9
358,Yes,9
308,Yes,9
376,Yes,9
314,Yes,9
366,Yes,9
322,Yes,9
314,Yes,8
330,Yes,9
344,Yes,9
352,Yes,10
262,Yes,9
360,Yes,8
404,Yes,10
288,Yes,10
328,Yes,9
420,Yes,10
474,Yes,10
274,Yes,10
294,Yes,9
284,Yes,9
524,Yes,10
294,Yes,10
278,Yes,10
474,Yes,9
272,Yes,10
354,Yes,10
282,Yes,10
412,Yes,3
346,Yes,7
324,Yes,10
394,Yes,8
346,Yes,10
268,Yes,9
388,Yes,9
282,Yes,10
262,Yes,7
298,Yes,9
282,Yes,9
398,Yes,8
408,Yes,10
380,Yes,10
238,Yes,9
304,Yes,10
358,Yes,9
308,Yes,9
